Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,VMA_20,VROC_10,OBV,VPT,MACD,MACD_Signal,MACD_Histogram,RSI,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,%K,%D,TR,+DM,-DM,TR_Smooth,+DM_Smooth,-DM_Smooth,+DI,-DI,DX,ADX,Williams_R,CCI,ATR,Sinyal,Alasan,Skor_Sinyal
2025-10-07 00:00:00+07:00,2130.0,2160.0,2080.0,2090.0,10145400,0.0,0.0,11484440.0,205.5843373493976,127746000,13641660.027493108,6.048330403454656,15.247826126839199,-9.199495723384542,35.38461538461537,2154.5,2111.8,,2146.8779424587683,2140.8296120553136,2154.5,2257.4000537056827,2051.5999462943173,205.8001074113654,0.186589084858573,19.35483870967742,33.333333333333336,80.0,0.0,40.0,1530.0,200.0,320.0,13.071895424836603,20.915032679738562,23.076923076923073,14.600030774937443,-80.64516129032258,-87.66859344894033,109.28571428571429,Tahan,Momentum positif dari OBV. Harga mendekati support (BB Lower). Konfirmasi bearish dari MACD dan RSI. ,0
2025-10-08 00:00:00+07:00,2080.0,2120.0,2000.0,2080.0,9374500,0.0,0.0,11398805.0,-13.52734987547274,118371500,13596805.960507462,0.26531336831158114,12.251323575133675,-11.986010206822094,38.983050847457626,2153.0,2116.0,,2136.5890282343425,2136.323714866031,2153.0,2259.4449449987655,2046.5550550012345,212.8898899975311,0.15709973357191087,23.52941176470588,25.047438330170777,120.0,0.0,80.0,1540.0,190.0,400.0,12.337662337662337,25.97402597402597,35.593220338983045,15.808023750484896,-76.47058823529412,-169.21606118546822,110.0,Tahan,Harga mendekati support (BB Lower). Konfirmasi bearish dari MACD dan RSI. ,-1
2025-10-09 00:00:00+07:00,2080.0,2200.0,2040.0,2160.0,12384900,0.0,0.0,11321455.0,231.45724608590928,130756400,14073148.26819977,2.1132024334465314,10.223699346796248,-8.110496913349717,43.75,2154.5,2121.4,,2140.19071619829,2138.0775137648434,2154.5,2260.4245014149265,2048.5754985850735,211.8490028298529,0.5259618876016959,47.05882352941176,29.98102466793169,160.0,80.0,0.0,1590.0,270.0,330.0,16.9811320754717,20.754716981132077,10.000000000000002,16.070229898766996,-52.94117647058824,-38.69749882019731,113.57142857142857,Tahan,,0
2025-10-10 00:00:00+07:00,2180.0,2180.0,2070.0,2100.0,6799800,0.0,0.0,11364320.0,-11.410182917296368,123956600,13884264.934866436,-1.2494280988089486,7.92907385767521,-9.178501956484158,46.666666666666664,2153.5,2125.3,,2134.0075290908608,2135.2569571896697,2153.5,2261.159306684514,2045.840693315486,215.31861336902784,0.25153100253201044,29.411764705882355,33.333333333333336,110.0,0.0,0.0,1590.0,270.0,330.0,16.9811320754717,20.754716981132077,10.000000000000002,16.78451561305271,-70.58823529411765,-67.34630831016405,113.57142857142857,Tahan,Konfirmasi bearish dari MACD dan RSI. ,-2
2025-10-13 00:00:00+07:00,2070.0,2110.0,2040.0,2110.0,5934500,0.0,0.0,11474785.0,-51.51948370231191,129891100,13912524.45867596,-3.0720083950341177,5.728857407133345,-8.800865802167463,47.540983606557376,2152.0,2130.1,,2130.314063076882,2133.3860714719162,2152.0,2261.27512357156,2042.72487642844,218.55024714312003,0.3078245138176584,32.35294117647059,36.27450980392157,70.0,0.0,30.0,1600.0,270.0,360.0,16.875,22.5,14.285714285714286,17.17467167547768,-67.64705882352942,-110.62843903851694,114.28571428571429,Tahan,Konfirmasi bearish dari MACD dan RSI. ,-2
2025-10-14 00:00:00+07:00,2150.0,2150.0,2000.0,2010.0,7161900,0.0,0.0,11576420.0,-6.059890607169558,122729200,13573097.9183916,-12.442155255096168,2.0946548746874427,-14.53681012978361,43.28358208955223,2144.5,2133.3,,2111.8042072189,2124.246362473996,2144.5,2270.737036854027,2018.2629631459731,252.47407370805377,-0.03272796697346407,2.941176470588235,21.56862745098039,150.0,0.0,0.0,1630.0,270.0,260.0,16.56441717791411,15.950920245398773,1.8867924528301832,15.917976887785587,-97.05882352941177,-144.27083333333286,116.42857142857143,Tahan,Konfirmasi bearish dari MACD dan RSI. ,-2
2025-10-15 00:00:00+07:00,2010.0,2060.0,1950.0,2060.0,7018400,0.0,0.0,11045060.0,-52.25610710131223,129747600,13747684.983068217,-15.65304347588426,-1.454884795426898,-14.198158680457363,48.57142857142857,2133.5,2137.7,,2103.8343291852234,2119.4873726611077,2133.5,2247.7987774489147,2019.2012225510855,228.59755489782924,0.17847425125412805,28.205128205128204,21.166415284062342,110.0,0.0,50.0,1640.0,260.0,310.0,15.853658536585366,18.902439024390244,8.771929824561402,15.49692425620664,-71.7948717948718,-169.97455470737964,117.14285714285714,Tahan,Harga mendekati support (BB Lower). Konfirmasi bearish dari MACD dan RSI. ,-1
2025-10-16 00:00:00+07:00,2070.0,2090.0,2030.0,2050.0,3131900,0.0,0.0,10749810.0,-92.4935706770143,126615700,13732481.585009964,-18.788035176206904,-4.921514871582899,-13.866520304624004,42.1875,2125.5,2141.0,,2095.552124695189,2114.340159871396,2125.5,2239.651330766619,2011.3486692333806,228.3026615332385,0.16929864289379795,25.64102564102564,18.929110105580694,60.0,30.0,0.0,1570.0,270.0,310.0,17.197452229299362,19.745222929936308,6.896551724137939,15.169862962497522,-74.35897435897436,-108.5271317829459,112.14285714285714,Tahan,Harga mendekati support (BB Lower). Konfirmasi bearish dari MACD dan RSI. Momentum negatif dari OBV. ,-2
2025-10-17 00:00:00+07:00,2050.0,2050.0,1945.0,1950.0,12712000,0.0,0.0,10985555.0,-56.16551724137931,113903700,13112384.024034355,-29.0073245690387,-9.738676811074061,-19.26864775796464,30.882352941176478,2111.0,2142.2,,2073.159490126698,2102.166814695737,2111.0,2236.974099259376,1985.025900740624,251.94819851875218,-0.1390202468068728,1.2658227848101267,18.370658876987992,105.0,0.0,85.0,1555.0,230.0,395.0,14.790996784565916,25.401929260450164,26.400000000000006,14.838828479738904,-98.73417721518987,-193.19628888484675,111.07142857142857,Jual,Konfirmasi bearish dari MACD dan RSI. Momentum negatif dari OBV. ,-3
2025-10-20 00:00:00+07:00,1965.0,2060.0,1965.0,2020.0,6181700,0.0,0.0,10955065.0,-16.410422836125647,120085400,13334291.203521535,-31.099276947250928,-14.010796838309435,-17.088480108941493,41.791044776119406,2105.0,2144.8,,2064.981107030283,2096.080383977534,2105.0,2236.4694281052307,1973.5305718947695,262.93885621046115,0.17673092815173527,18.9873417721519,15.298063399329223,110.0,10.0,0.0,1575.0,240.0,395.0,15.238095238095239,25.07936507936508,24.409448818897634,15.153789109660165,-81.0126582278481,-126.43678160919579,112.5,Tahan,Harga mendekati support (BB Lower). Stochastic oversold dengan potensi reversal. Konfirmasi bearish dari MACD dan RSI. Momentum negatif dari OBV. ,-1
